Date,Open,High,Low,Close,Volume
2011-08-27,6.008,6.145,6.008,6.145,1.638
2011-08-28,6.145,6.398,6.201,6.398,0.4928
2011-08-29,6.398,6.398,6.398,6.398,0
2011-08-30,6.398,6.398,6.398,6.398,0
2011-08-31,6.398,6.398,6.398,6.398,0
2011-09-01,6.398,6.398,6.398,6.398,0
2011-09-02,6.398,5.792,5.699,5.785,16.88
2011-09-03,5.785,5.838,5.834,5.834,2.068
2011-09-04,5.834,5.834,5.834,5.834,0
2011-09-05,5.834,5.196,5.031,5.031,99.99
2011-09-06,5.031,4.9,4.536,4.536,132.09
2011-09-07,4.536,5.247,4.627,4.948,112.86
2011-09-08,4.948,5.082,4.77,4.77,266.64
2011-09-09,4.77,4.75,3.099,3.5,1196.66
2011-09-10,3.5,3.756,3.486,3.487,57.53
2011-09-11,3.487,5.01,3.3,3.656,472.76
2011-09-12,3.656,4.764,4.08,4.377,350.46
2011-09-13,4.377,4.528,4.25,4.34,436.38
2011-09-14,4.34,4.357,4,4.1,971.31
2011-09-15,4.1,4.05,3.319,3.5,2928.41
2011-09-16,3.5,3.632,3.437,3.5,460.35
2011-09-17,3.5,3.649,3.5,3.573,256
2011-09-18,3.573,4.048,3.46,3.747,1087.94
2011-09-19,3.747,4.149,3.709,4,1962.12
2011-09-20,4,5.072,4.1,4.469,7716.39
2011-09-21,4.469,4.566,3.8,4.067,1545.5
2011-09-22,4.067,4.224,3.969,4.08,756.06
2011-09-23,4.08,4.227,4,4.227,327.74
2011-09-24,4.227,4.207,4.067,4.1,82.29
2011-09-25,4.1,4.12,4,4,196.78
2011-09-26,4,4.088,3.544,3.7,1166.78
2011-09-27,3.7,3.85,3.65,3.675,1061.53
2011-09-28,3.675,3.72,3.45,3.59,2553.71
2011-09-29,3.59,3.59,3.5,3.55,479.2
2011-09-30,3.55,3.97,3.5,3.85,904.91
2011-10-01,3.85,3.879,3.65,3.81,495.75
2011-10-02,3.81,3.81,3.72,3.781,156.3
2011-10-03,3.781,3.78,3.7,3.7,451.37
2011-10-04,3.7,3.821,3.746,3.75,357.99
2011-10-05,3.75,3.82,3.65,3.676,893.17
2011-10-06,3.676,3.743,3.45,3.55,1851.38
2011-10-07,3.55,3.59,2.9,3.293,2103.29
2011-10-08,3.293,3.283,2.872,2.89,669.78
2011-10-09,2.89,3.18,2.978,2.978,292.98
2011-10-10,2.978,3.2,3,3.09,439.84
2011-10-11,3.09,3.091,2.881,2.929,1525.93
2011-10-12,2.929,3.19,2.91,3.06,1335.8
2011-10-13,3.06,3.1,2.96,2.96,1526.22
2011-10-14,2.96,3.062,2.945,2.97,1573.31
2011-10-15,2.97,2.97,2.702,2.76,1053.61
2011-10-16,2.76,2.8,2.51,2.587,402.14
2011-10-17,2.587,2.776,1.686,1.921,15732.46
2011-10-18,1.921,2.14,1.72,1.754,2911.28
2011-10-19,1.754,1.81,1.5,1.62,3660.77
2011-10-20,1.62,1.772,1.597,1.74,6666.32
2011-10-21,1.74,1.934,1.75,1.81,1662.54
2011-10-22,1.81,2.43,1.85,2.256,3876.1
2011-10-23,2.256,2.377,2.154,2.274,2884.4
2011-10-24,2.274,2.35,1.824,1.872,3694.29
2011-10-25,1.872,2.14,1.8,2,2494.37
2011-10-26,2,2.08,1.929,1.98,1637.1
2011-10-27,1.98,2.16,1.957,2.16,1330.71
2011-10-28,2.16,2.329,2.085,2.329,1588.92
2011-10-29,2.329,2.678,2.201,2.574,2284.1
2011-10-30,2.574,2.6,2.206,2.303,364.99
2011-10-31,2.303,2.326,2.203,2.301,555.87
2011-11-01,2.301,2.416,2.23,2.32,967.13
2011-11-02,2.32,2.44,2.304,2.42,510.78
2011-11-03,2.42,2.419,2.301,2.31,1716.77
2011-11-04,2.31,2.381,2.21,2.27,824.14
